Frequency(Hz),Phase Shift(degrees),Frequency(KHz)
1500,13.104,1.5
2000,17.334,2
2500,-4.29,2.5
3000,-12.48,3
3500,-8.928,3.5
4000,-4.746,4
4500,-3.594,4.5
5000,-3.9,5
5500,-3.84,5.5
6000,-3.324,6
6500,-2.814,6.5
7000,-2.478,7
7500,-2.238,7.5
8000,-2.004,8
8500,-1.818,8.5
9000,-1.644,9
9500,-1.488,9.5
10000,-1.344,10
10500,-1.242,10.5
11000,-1.128,11
11500,-1.038,11.5
12000,-0.96,12
12500,-0.894,12.5
13000,-0.834,13
13500,-0.768,13.5
14000,-0.714,14
14500,-0.672,14.5
15000,-0.624,15
15500,-0.594,15.5
16000,-0.558,16
16500,-0.516,16.5
17000,-0.48,17
17500,-0.462,17.5
18000,-0.438,18
18500,-0.408,18.5
19000,-0.39,19
19500,-0.366,19.5
20000,-0.348,20
20500,-0.336,20.5
21000,-0.312,21
21500,-0.3,21.5
22000,-0.288,22
22500,-0.276,22.5
23000,-0.27,23
23500,-0.252,23.5
24000,-0.246,24
24500,-0.24,24.5
25000,-0.222,25
25500,-0.216,25.5
26000,-0.204,26
26500,-0.198,26.5
27000,-0.186,27
27500,-0.18,27.5
28000,-0.168,28
28500,-0.174,28.5
29000,-0.174,29
29500,-0.18,29.5
30000,-0.156,30
30500,-0.144,30.5
31000,-0.144,31
31500,-0.132,31.5
32000,-0.132,32
32500,-0.12,32.5
33000,-0.12,33
33500,-0.108,33.5
34000,-0.114,34
34500,-0.114,34.5
35000,-0.114,35
35500,-0.102,35.5
36000,-0.102,36
36500,-0.102,36.5
37000,-0.102,37
37500,-0.09,37.5
38000,-0.09,38
38500,-0.09,38.5
39000,-0.09,39
39500,-0.072,39.5
40000,-0.072,40
40500,-0.096,40.5