Frequency(Hz),Amplitude(degrees),Frequency(KHz)
1500,0.564213,1.5
2000,0.870365,2
2500,0.856632,2.5
3000,0.861027,3
3500,0.816532,3.5
4000,0.771061,4
4500,0.72504,4.5
5000,0.681522,5
5500,0.639652,5.5
6000,0.602604,6
6500,0.567936,6.5
7000,0.536564,7
7500,0.50745,7.5
8000,0.480959,8
8500,0.456606,8.5
9000,0.434633,9
9500,0.414248,9.5
10000,0.395693,10
10500,0.378054,10.5
11000,0.362551,11
11500,0.347963,11.5
12000,0.334597,12
12500,0.321779,12.5
13000,0.310122,13
13500,0.29883,13.5
14000,0.289003,14
14500,0.279299,14.5
15000,0.270388,15
15500,0.26166,15.5
16000,0.253908,16
16500,0.246217,16.5
17000,0.239259,17
17500,0.232484,17.5
18000,0.226258,18
18500,0.220155,18.5
19000,0.214478,19
19500,0.208985,19.5
20000,0.20398,20
20500,0.198915,20.5
21000,0.194337,21
21500,0.189881,21.5
22000,0.185548,22
22500,0.181336,22.5
23000,0.177613,23
23500,0.173768,23.5
24000,0.170228,24
24500,0.166749,24.5
25000,0.163453,25
25500,0.160218,25.5
26000,0.157228,26
26500,0.154176,26.5
27000,0.151368,27
27500,0.148622,27.5
28000,0.145997,28
28500,0.143373,28.5
29000,0.140992,29
29500,0.138551,29.5
30000,0.136353,30
30500,0.134034,30.5
31000,0.131959,31
31500,0.129762,31.5
32000,0.127809,32
32500,0.125794,32.5
33000,0.123902,33
33500,0.12201,33.5
34000,0.120301,34
34500,0.118531,34.5
35000,0.116883,35
35500,0.115174,35.5
36000,0.113648,36
36500,0.112061,36.5
37000,0.110535,37
37500,0.10907,37.5
38000,0.107728,38
38500,0.106263,38.5
39000,0.10492,39
39500,0.103516,39.5
40000,0.102356,40
40500,0.101014,40.5